medcodeid	ReadCode	SNOMEDCTCodes	OriginalReadCode	CleansedReadCode	term_medcode	category
449935012	8Hd6.	306803007	8Hd6	8Hd6.00	Admission to stroke unit	ischaemic
4835931000006111	NA	206196005	^ESCTCE483593	NA	Cerebral hemorrhage due to birth injury	haemorrhagic
4835941000006118	NA	206196005	^ESCTCE483594	NA	Cerebral hemorrhage due to birth trauma	haemorrhagic
4835951000006116	NA	206196005	^ESCTCE483595	NA	Cerebral haemorrhage due to birth trauma	haemorrhagic
4837401000006118	NA	206395003	^ESCTIN483740	NA	Intraventricular (nontraumatic) hemorrhage, grade 1, of fetus and newborn	haemorrhagic
4837411000006115	NA	206395003	^ESCTIN483741	NA	Intraventricular (nontraumatic) haemorrhage, grade 1, of foetus and newborn	haemorrhagic
4837421000006111	NA	206396002	^ESCTIN483742	NA	Intraventricular (nontraumatic) haemorrhage, grade 2, of foetus and newborn	haemorrhagic
4837441000006116	NA	206396002	^ESCTIN483744	NA	Intraventricular (nontraumatic) hemorrhage, grade 2, of fetus and newborn	haemorrhagic
4837451000006119	NA	206397006	^ESCTIN483745	NA	Intraventricular (nontraumatic) haemorrhage, grade 3, of foetus and newborn	haemorrhagic
4837471000006112	NA	206397006	^ESCTIN483747	NA	Intraventricular (nontraumatic) haemorrhage, grade 3, of fetus and newborn	haemorrhagic
4837491000006113	NA	206398001	^ESCTIN483749	NA	Intraventricular hemorrhage due to birth injury	haemorrhagic
4837511000006119	NA	206399009	^ESCTSU483751	NA	Subarachnoid hemorrhage due to birth injury	haemorrhagic
4837521000006110	NA	206399009	^ESCTIN483752	NA	Intracranial subarachnoid haemorrhage due to birth injury	haemorrhagic
4837531000006113	NA	206399009	^ESCTIN483753	NA	Intracranial subarachnoid hemorrhage due to birth injury	haemorrhagic
4837741000006113	NA	206419007	^ESCTCE483774	NA	Cerebellar (nontraumatic) and posterior fossa hemorrhage of fetus and newborn	haemorrhagic
4837751000006110	NA	206419007	^ESCTCE483775	NA	Cerebellar (nontraumatic) and posterior fossa haemorrhage of fetus and newborn	haemorrhagic
5111331000006119	NA	237702003	^ESCTPI511133	NA	Pituitary haemorrhage	haemorrhagic
5111341000006112	NA	237702003	^ESCTPI511134	NA	Pituitary hemorrhage	haemorrhagic
5146111000006110	NA	240313004	^ESCTIN514611	NA	Intracerebral haemorrhage in fetus or newborn	haemorrhagic
5146121000006119	NA	240313004	^ESCTIN514612	NA	Intracerebral hemorrhage in fetus or newborn	haemorrhagic
542271000006119	Q4171	206419007	Q4171	Q417100	Cerebellar (nontraumatic) and posterior fossa haemorrhage of foetus and newborn	haemorrhagic
5445641000006113	NA	261808007	^ESCTNE544564	NA	Neonatal cerebral hemorrhage	haemorrhagic
5588471000006111	NA	276648002	^ESCTIN558847	NA	Intraventricular haemorrhage of prematurity	haemorrhagic
5588481000006114	NA	276648002	^ESCTIN558848	NA	Intraventricular hemorrhage of prematurity	haemorrhagic
5588511000006118	NA	276650005	^ESCTPE558851	NA	Perinatal subependymal haemorrhage	haemorrhagic
5588561000006115	NA	276650005	^ESCTPE558856	NA	Perinatal subependymal hemorrhage	haemorrhagic
5588571000006110	NA	276651009	^ESCTPE558857	NA	Perinatal subependymal haemorrhage with intraventricular extension	haemorrhagic
5588581000006113	NA	276651009	^ESCTPE558858	NA	Perinatal subependymal hemorrhage with intraventricular extension	haemorrhagic
5588591000006111	NA	276652002	^ESCTPE558859	NA	Perinatal subependymal haemorrhage with intraventricular and intracerebral extension	haemorrhagic
5588601000006115	NA	276652002	^ESCTPE558860	NA	Perinatal subependymal hemorrhage with intraventricular and intracerebral extension	haemorrhagic
5731161000006111	NA	288276001	^ESCTFO573116	NA	Foetal cerebral haemorrhage	haemorrhagic
5731171000006116	NA	288276001	^ESCTFE573117	NA	Fetal cerebral haemorrhage	haemorrhagic
5731181000006118	NA	288276001	^ESCTFE573118	NA	Fetal cerebral hemorrhage	haemorrhagic
5772721000006113	NA	291665000	^ESCTPO577272	NA	Postpartum intrapituitary haemorrhage	haemorrhagic
5772731000006111	NA	291665000	^ESCTPO577273	NA	Postpartum intrapituitary hemorrhage	haemorrhagic
6349401000006115	NA	371121002	^ESCTNE634940	NA	Neonatal stroke	ischaemic
7085451000006112	NA	428241007	^ESCTIN708545	NA	Intraventricular haemorrhage of fetus	haemorrhagic
7085461000006114	NA	428241007	^ESCTIN708546	NA	Intraventricular hemorrhage of fetus	haemorrhagic
7085471000006119	NA	428241007	^ESCTVE708547	NA	Ventricular hemorrhage of fetus	haemorrhagic
7085481000006116	NA	428241007	^ESCTIN708548	NA	Intraventricular haemorrhage of foetus	haemorrhagic
7085491000006118	NA	428241007	^ESCTVE708549	NA	Ventricular haemorrhage of foetus	haemorrhagic
767641000006118	Q4110	206395003	Q4110	Q411000	Intraventricular (nontraumatic) haemorrhage, grade 1, of fetus and newborn	haemorrhagic
767651000006116	Q4111	206396002	Q4111	Q411100	Intraventricular (nontraumatic) haemorrhage, grade 2, of fetus and newborn	haemorrhagic
767661000006119	Q4112	206397006	Q4112	Q411200	Intraventricular (nontraumatic) hemorrhage, grade 3, of fetus and newborn	haemorrhagic
769281000006119	Q2000	240313004	Q2000-2	Q200012	Intracranial haemorrhage in fetus or newborn	haemorrhagic
7833761000006111	NA	722580004	^ESCTFO783376	NA	Foetal or neonatal intraventricular non-traumatic haemorrhage grade 4	haemorrhagic
7833771000006116	NA	722580004	^ESCTFE783377	NA	Fetal or neonatal intraventricular non-traumatic hemorrhage grade 4	haemorrhagic
7833781000006118	NA	722581000	^ESCTFO783378	NA	Foetal or neonatal non-traumatic intraventricular haemorrhage	haemorrhagic
7833791000006115	NA	722581000	^ESCTFE783379	NA	Fetal or neonatal non-traumatic intraventricular hemorrhage	haemorrhagic
7833801000006119	NA	722582007	^ESCTFO783380	NA	Foetal or neonatal intracerebral non-traumatic haemorrhage	haemorrhagic
7833811000006116	NA	722582007	^ESCTFE783381	NA	Fetal or neonatal intracerebral non-traumatic hemorrhage	haemorrhagic
7833821000006112	NA	722583002	^ESCTFE783382	NA	Fetal or neonatal non-traumatic haemorrhage of subarachnoid space of brain	haemorrhagic
7833831000006110	NA	722583002	^ESCTFE783383	NA	Fetal or neonatal non-traumatic hemorrhage of subarachnoid space of brain	haemorrhagic
7838271000006115	NA	722929005	^ESCTPE783827	NA	Perinatal arterial ischaemic stroke	ischaemic
7838281000006117	NA	722929005	^ESCTPE783828	NA	Perinatal arterial ischemic stroke	ischaemic
3119351000006115	NA	38453000	^ESCTCE311935	NA	Cerebral haemorrhage due to intrapartum anoxia or hypoxia	haemorrhagic
5588521000006114	NA	276650005	^ESCTGM558852	NA	GMH - Germinal matrix haemorrhage	haemorrhagic
5588531000006112	NA	276650005	^ESCTGE558853	NA	Germinal matrix haemorrhage	haemorrhagic
5588541000006119	NA	276650005	^ESCTGE558854	NA	Germinal matrix hemorrhage	haemorrhagic
5588551000006117	NA	276650005	^ESCTGM558855	NA	GMH - Germinal matrix hemorrhage	haemorrhagic
7834621000006111	NA	722632006	^ESCTTR783462	NA	Traumatic hemorrhage of brainstem	haemorrhagic
7834631000006114	NA	722632006	^ESCTHE783463	NA	Hemorrhage of brainstem due to traumatic injury	haemorrhagic
104563015	G6...	62914000	G6	G6...00	Cerebrovascular disease	EXCLUDE
106394016	G656.	64009001	G656	G656.00	Vertebrobasilar insufficiency	EXCLUDE
1160471000000111	662M1	519751000000106	662M1	662M100	Stroke 6 month review	EXCLUDE
12113981000006117	NA	672551000119100	^ESCT1211398	NA	Aphasia due to and following haemorrhagic cerebrovascular accident	EXCLUDE
12113991000006119	NA	672551000119100	^ESCT1211399	NA	Aphasia as late effect of hemorrhagic cerebrovascular accident	EXCLUDE
12114001000006111	NA	672551000119100	^ESCT1211400	NA	Aphasia due to and following hemorrhagic cerebrovascular accident	EXCLUDE
12114011000006114	NA	672551000119100	^ESCT1211401	NA	Aphasia as late effect of haemorrhagic cerebrovascular accident	EXCLUDE
126301000006113	G63..	1055001	G63-2	G63..12	Stenosis of precerebral artery	EXCLUDE
138981000000113	9h2..	716331000000108	9h2	9h2..00	Exception reporting - stroke quality indicators	EXCLUDE
139081000000117	9h21.	716581000000101	9h21	9h21.00	Excepted from stroke quality indicators - patient unsuitable	EXCLUDE
139091000000115	9h22.	716021000000109	9h22	9h22.00	Excepted from stroke quality indicators - informed dissent	EXCLUDE
149551000006111	G682.	363302008	G682	G682.00	Sequelae of other nontraumatic intracranial haemorrhage	EXCLUDE
149571000006118	G68X.	195239002	G68X	G68X.00	Sequelae of stroke,not specfd as h'morrhage or infarction	EXCLUDE
149701000006118	G68W.	195239002	G68W	G68W.00	Sequelae/other + unspecified cerebrovascular diseases	EXCLUDE
1780304018	662e.	699270006	662e	662e.00	CVA annual review	EXCLUDE
1784651000006110	8IEC.	781731000000103	8IEC	8IEC.00	Referral for multidisciplinary stroke function improvement declined	EXCLUDE
2115821000000118	661N7	810991000000109	661N7	661N700	Stroke self-management plan review	EXCLUDE
2118011000000114	661M7	812041000000104	661M7	661M700	Stroke self-management plan agreed	EXCLUDE
2126181000000114	662e.	699270006	6.62E+01	662e.11	Stroke annual review	EXCLUDE
2127781000000110	662M2	816561000000108	662M2	662M200	Stroke initial post discharge review	EXCLUDE
2476647018	N111.	34781003	N111-1	N111.11	Vertebral artery compression syndrome	EXCLUDE
2534196010	9Om2.	415631003	9Om2	9Om2.00	Stroke/transient ischaemic attack monitoring third letter	EXCLUDE
2534198011	G623.	35486000	G623	G623.00	Subdural haemorrhage	EXCLUDE
2534212018	9Om1.	415629007	9Om1	9Om1.00	Stroke/transient ischaemic attack monitoring second letter	EXCLUDE
2534253014	9Om0.	415628004	9Om0	9Om0.00	Stroke/transient ischaemic attack monitoring first letter	EXCLUDE
2539131000006116	NA	2517002	^ESCTST253913	NA	Stroke rehabilitation	EXCLUDE
2548554013	662o.	417506008	662o	662o.00	Haemorrhagic stroke monitoring	EXCLUDE
264499015	662M.	170600009	662M	662M.00	Stroke monitoring	EXCLUDE
287283010	A94y6	186893003	A94y6	A94y600	Rupture of syphilitic cerebral aneurysm	EXCLUDE
2962811000006114	NA	28790007	^ESCTOB296281	NA	Obstruction of precerebral artery	EXCLUDE
297013012	F11x2	192813004	F11x2	F11x200	Cerebral degeneration due to cerebrovascular disease	EXCLUDE
2973201000006112	NA	29426003	^ESCTPA297320	NA	Paralytic syndrome	EXCLUDE
298916015	F4K7.	194179009	F4K7	F4K7.00	Retrobulbar haemorrhage	EXCLUDE
2989671000006114	NA	30400005	^ESCTMI298967	NA	Middle meningeal haemorrhage following injury	EXCLUDE
2989681000006112	NA	30400005	^ESCTMI298968	NA	Middle meningeal hemorrhage following injury	EXCLUDE
300310019	G633.	195183002	G633	G633.00	Multiple and bilateral precerebral arterial occlusion	EXCLUDE
300311015	G63y.	266253001	G63y	G63y.00	Other precerebral artery occlusion	EXCLUDE
300314011	G63z.	266253001	G63z	G63z.00	Precerebral artery occlusion NOS	EXCLUDE
300344014	G653.	195200006	G653	G653.00	Carotid artery syndrome hemispheric	EXCLUDE
300345010	G654.	195201005	G654	G654.00	Multiple and bilateral precerebral artery syndromes	EXCLUDE
300374018	G67..	62914000	G67	G67..00	Other cerebrovascular disease	EXCLUDE
300379011	G671z	302909007	G671z	G671z00	Generalised ischaemic cerebrovascular disease NOS	EXCLUDE
300401011	G67y.	62914000	G67y	G67y.00	Other cerebrovascular disease OS	EXCLUDE
300402016	G67z.	62914000	G67z	G67z.00	Other cerebrovascular disease NOS	EXCLUDE
300403014	G68..	195239002	G68	G68..00	Late effects of cerebrovascular disease	EXCLUDE
300406018	G680.	195240000	G680	G680.00	Sequelae of subarachnoid haemorrhage	EXCLUDE
300407010	G681.	195241001	G681	G681.00	Sequelae of intracerebral haemorrhage	EXCLUDE
300411016	G683.	195243003	G683	G683.00	Sequelae of cerebral infarction	EXCLUDE
300418010	G6y..	62914000	G6y	G6y..00	Other specified cerebrovascular disease	EXCLUDE
300419019	G6z..	62914000	G6z	G6z..00	Cerebrovascular disease NOS	EXCLUDE
300942019	Gyu65	266253001	Gyu65	Gyu6500	[X]Occlusion and stenosis of other precerebral arteries	EXCLUDE
300944018	Gyu67	62914000	Gyu67	Gyu6700	[X]Other specified cerebrovascular diseases	EXCLUDE
3071661000006112	NA	35486000	^ESCTSU307166	NA	Subdural hemorrhage	EXCLUDE
3071671000006117	NA	35486000	^ESCTSU307167	NA	Subdural intracranial hemorrhage	EXCLUDE
3071681000006119	NA	35486000	^ESCTSU307168	NA	Subdural intracranial haemorrhage	EXCLUDE
316130010	Q200.	206188000	Q200	Q200.00	Subdural and cerebral haemorrhage due to birth trauma	EXCLUDE
320836010	S62..	209987007	S62-3	S62..13	Subdural haemorrhage following injury	EXCLUDE
320852013	S62z.	450418003	S62z	S62z.00	Cerebral haemorrhage following injury NOS	EXCLUDE
3236911000006117	NA	45639009	^ESCTHE323691	NA	Hereditary cerebral amyloid angiopathy, Icelandic type	EXCLUDE
3236921000006113	NA	45639009	^ESCTAM323692	NA	Amyloidosis VI	EXCLUDE
3236931000006111	NA	45639009	^ESCTIC323693	NA	Iceland type amyloidosis	EXCLUDE
3236941000006118	NA	45639009	^ESCTIC323694	NA	Icelandic type amyloidosis	EXCLUDE
3236951000006116	NA	45639009	^ESCTHE323695	NA	Hereditary cerebral haemorrhage with amyloidosis - Icelandic type	EXCLUDE
3236961000006119	NA	45639009	^ESCTHE323696	NA	Hereditary cerebral hemorrhage with amyloidosis - Icelandic type	EXCLUDE
325050015	SP100	213208008	SP100	SP10000	Anoxic brain damage complication	EXCLUDE
3417121000006116	NA	56453003	^ESCTHE341712	NA	Hereditary cerebral amyloid angiopathy, Dutch type	EXCLUDE
3417131000006118	NA	56453003	^ESCTHE341713	NA	Hereditary cerebral haemorrhage with amyloidosis - Dutch type	EXCLUDE
3417141000006111	NA	56453003	^ESCTHE341714	NA	Hereditary cerebral hemorrhage with amyloidosis - Dutch type	EXCLUDE
3417151000006113	NA	56453003	^ESCTDU341715	NA	Dutch type amyloidosis	EXCLUDE
3432521000006116	NA	57388008	^ESCTSU343252	NA	Subarachnoid haemorrhage precautions	EXCLUDE
3432531000006118	NA	57388008	^ESCTSU343253	NA	Subarachnoid hemorrhage precautions	EXCLUDE
3441841000006118	NA	57981008	^ESCTST344184	NA	Stroke-in-evolution syndrome	EXCLUDE
3503601019	NA	12367511000119101	^ESCT1172529	NA	Paraplegia as sequela of cerebrovascular accident	EXCLUDE
3503602014	NA	12367511000119101	^ESCT1172530	NA	Paraplegia as late effect of stroke	EXCLUDE
3504909011	NA	291681000119108	^ESCT1170736	NA	Dysphagia as sequela of non-traumatic subarachnoid hemorrhage	EXCLUDE
3504910018	NA	291681000119108	^ESCT1170739	NA	Dysphagia as late effect of spontaneous subarachnoid hemorrhage	EXCLUDE
3506622015	NA	290641000119107	^ESCT1170671	NA	Dysphagia due to and following non-traumatic intracerebral hemorrhage	EXCLUDE
3506623013	NA	290641000119107	^ESCT1170669	NA	Dysphagia due to and following non-traumatic intracerebral haemorrhage	EXCLUDE
3506624019	NA	290641000119107	^ESCT1170672	NA	Dysphagia as late effect of spontaneous intracerebral hemorrhage	EXCLUDE
3506625018	NA	290641000119107	^ESCT1170670	NA	Dysphagia as sequela of non-traumatic intracerebral hemorrhage	EXCLUDE
3506626017	NA	290641000119107	^ESCT1170674	NA	Dysphagia as late effect of spontaneous intracerebral haemorrhage	EXCLUDE
3506627014	NA	290641000119107	^ESCT1170673	NA	Dysphagia as sequela of non-traumatic intracerebral haemorrhage	EXCLUDE
3507310015	NA	15978631000119109	^ESCT1172871	NA	Bilateral vertebral artery occlusion	EXCLUDE
3508812019	NA	290631000119103	^ESCT1170666	NA	Dysarthria due to and following cerebrovascular accident	EXCLUDE
3508813012	NA	290631000119103	^ESCT1170668	NA	Dysarthria as late effect of stroke	EXCLUDE
3508814018	NA	290631000119103	^ESCT1170667	NA	Dysarthria as sequela of cerebrovascular accident	EXCLUDE
3508819011	NA	12242711000119109	^ESCT1172519	NA	Weakness of left facial muscle as sequela of cerebrovascular accident	EXCLUDE
3508820017	NA	12242711000119109	^ESCT1172521	NA	Left facial weakness as late effect of stroke	EXCLUDE
3508822013	NA	674381000119108	^ESCT1171092	NA	Weakness of facial muscle as sequela of ischemic cerebrovascular accident	EXCLUDE
3508823015	NA	674381000119108	^ESCT1171091	NA	Weakness of facial muscle as sequela of ischaemic cerebrovascular accident	EXCLUDE
3508824014	NA	674381000119108	^ESCT1171093	NA	Facial weakness as late effect of ischemic stroke	EXCLUDE
3508829016	NA	15982271000119104	^ESCT1172880	NA	Weakness of right facial muscle as sequela of cerebrovascular disease	EXCLUDE
3508830014	NA	15982271000119104	^ESCT1172881	NA	Right facial weakness as late effect of cerebrovascular disease	EXCLUDE
3508832018	NA	12242751000119105	^ESCT1172522	NA	Weakness of right facial muscle as sequela of cerebrovascular accident	EXCLUDE
3508833011	NA	12242751000119105	^ESCT1172523	NA	Right facial weakness as late effect of stroke	EXCLUDE
3508835016	NA	15982311000119104	^ESCT1172883	NA	Weakness of left facial muscle as sequela of cerebrovascular disease	EXCLUDE
3508836015	NA	15982311000119104	^ESCT1172885	NA	Left facial weakness as late effect of cerebrovascular disease	EXCLUDE
3508853010	NA	672521000119108	^ESCT1171047	NA	Dysphasia due to and following ischemic cerebrovascular accident	EXCLUDE
3508854016	NA	672521000119108	^ESCT1171046	NA	Dysphasia due to and following ischaemic cerebrovascular accident	EXCLUDE
3508855015	NA	672521000119108	^ESCT1171049	NA	Dysphasia as late effect of ischemic stroke	EXCLUDE
3508856019	NA	672521000119108	^ESCT1171050	NA	Dysphasia as sequela of ischemic cerebrovascular accident	EXCLUDE
3508857011	NA	672521000119108	^ESCT1171048	NA	Dysphasia as late effect of ischaemic stroke	EXCLUDE
3508858018	NA	672521000119108	^ESCT1171051	NA	Dysphasia as sequela of ischaemic cerebrovascular accident	EXCLUDE
3508860016	NA	16260551000119106	^ESCT1173144	NA	Dysphasia due to and following cerebrovascular accident	EXCLUDE
3508861017	NA	16260551000119106	^ESCT1173146	NA	Dysphasia as late effect of stroke	EXCLUDE
3508862012	NA	16260551000119106	^ESCT1173145	NA	Dysphasia as sequela of cerebrovascular accident	EXCLUDE
3508864013	NA	290621000119101	^ESCT1170664	NA	Cognitive deficit due to and following cerebrovascular disease	EXCLUDE
3508865014	NA	290621000119101	^ESCT1170665	NA	Cognitive deficit as sequela of cerebrovascular disease	EXCLUDE
3508867018	NA	690341000119100	^ESCT1171136	NA	Cognitive deficit due to and following embolic cerebrovascular accident	EXCLUDE
3508868011	NA	690341000119100	^ESCT1171138	NA	Cognitive deficit as late effect of embolic stroke	EXCLUDE
3508869015	NA	690341000119100	^ESCT1171137	NA	Cognitive deficit as sequela of embolic cerebrovascular accident	EXCLUDE
3508871015	NA	672511000119101	^ESCT1171043	NA	Dysarthria due to and following hemorrhagic cerebrovascular accident	EXCLUDE
3508872010	NA	672511000119101	^ESCT1171040	NA	Dysarthria due to and following haemorrhagic cerebrovascular accident	EXCLUDE
3508873017	NA	672511000119101	^ESCT1171042	NA	Dysarthria as late effect of hemorrhagic stroke	EXCLUDE
3508874011	NA	672511000119101	^ESCT1171045	NA	Dysarthria as sequela of hemorrhagic cerebrovascular accident	EXCLUDE
3508875012	NA	672511000119101	^ESCT1171041	NA	Dysarthria as late effect of haemorrhagic stroke	EXCLUDE
3508876013	NA	672511000119101	^ESCT1171044	NA	Dysarthria as sequela of haemorrhagic cerebrovascular accident	EXCLUDE
3508889019	NA	672571000119109	^ESCT1171069	NA	Cognitive deficit due to and following hemorrhagic cerebrovascular accident	EXCLUDE
3508890011	NA	672571000119109	^ESCT1171064	NA	Cognitive deficit due to and following haemorrhagic cerebrovascular accident	EXCLUDE
3508891010	NA	672571000119109	^ESCT1171065	NA	Cognitive deficit as late effect of hemorrhagic stroke	EXCLUDE
3508892015	NA	672571000119109	^ESCT1171066	NA	Cognitive deficit as sequela of hemorrhagic cerebrovascular accident	EXCLUDE
3508893013	NA	672571000119109	^ESCT1171068	NA	Cognitive deficit as late effect of haemorrhagic stroke	EXCLUDE
3508894019	NA	672571000119109	^ESCT1171067	NA	Cognitive deficit as sequela of haemorrhagic cerebrovascular accident	EXCLUDE
3508896017	NA	690351000119103	^ESCT1171139	NA	Dysphasia due to and following embolic cerebrovascular accident	EXCLUDE
3508897014	NA	690351000119103	^ESCT1171140	NA	Dysphasia as late effect of embolic stroke	EXCLUDE
3508898016	NA	690351000119103	^ESCT1171141	NA	Dysphasia as sequela of embolic cerebrovascular accident	EXCLUDE
3508900019	NA	672561000119103	^ESCT1171061	NA	Cognitive deficit due to and following ischemic cerebrovascular accident	EXCLUDE
3508901015	NA	672561000119103	^ESCT1171058	NA	Cognitive deficit due to and following ischaemic cerebrovascular accident	EXCLUDE
3508902010	NA	672561000119103	^ESCT1171060	NA	Cognitive deficit as late effect of ischemic stroke	EXCLUDE
3508903017	NA	672561000119103	^ESCT1171063	NA	Cognitive deficit as sequela of ischemic cerebrovascular accident	EXCLUDE
3508904011	NA	672561000119103	^ESCT1171059	NA	Cognitive deficit as late effect of ischaemic stroke	EXCLUDE
3508905012	NA	672561000119103	^ESCT1171062	NA	Cognitive deficit as sequela of ischaemic cerebrovascular accident	EXCLUDE
3508907016	NA	291711000119109	^ESCT1170745	NA	Cognitive deficit due to and following nontraumatic intracerebral hemorrhage	EXCLUDE
3508908014	NA	291711000119109	^ESCT1170740	NA	Cognitive deficit due to and following nontraumatic intracerebral haemorrhage	EXCLUDE
3508909018	NA	291711000119109	^ESCT1170743	NA	Cognitive deficit as late effect of spontaneous intracerebral hemorrhage	EXCLUDE
3508910011	NA	291711000119109	^ESCT1170741	NA	Cognitive deficit as sequela of nontraumatic intracerebral hemorrhage	EXCLUDE
3508911010	NA	291711000119109	^ESCT1170744	NA	Cognitive deficit as late effect of spontaneous intracerebral haemorrhage	EXCLUDE
3508912015	NA	291711000119109	^ESCT1170742	NA	Cognitive deficit as sequela of nontraumatic intracerebral haemorrhage	EXCLUDE
3508914019	NA	291621000119109	^ESCT1170726	NA	Cognitive deficit due to and following nontraumatic subarachnoid hemorrhage	EXCLUDE
3508915018	NA	291621000119109	^ESCT1170724	NA	Cognitive deficit due to and following nontraumatic subarachnoid haemorrhage	EXCLUDE
3508916017	NA	291621000119109	^ESCT1170728	NA	Cognitive deficit as late effect of spontaneous subarachnoid hemorrhage	EXCLUDE
3508917014	NA	291621000119109	^ESCT1170729	NA	Cognitive deficit as sequela of nontraumatic subarachnoid hemorrhage	EXCLUDE
3508918016	NA	291621000119109	^ESCT1170727	NA	Cognitive deficit as late effect of spontaneous subarachnoid haemorrhage	EXCLUDE
3508919012	NA	291621000119109	^ESCT1170725	NA	Cognitive deficit as sequela of nontraumatic subarachnoid haemorrhage	EXCLUDE
3508933012	NA	672531000119106	^ESCT1171053	NA	Dysphasia due to and following hemorrhagic cerebrovascular accident	EXCLUDE
3508934018	NA	672531000119106	^ESCT1171052	NA	Dysphasia due to and following haemorrhagic cerebrovascular accident	EXCLUDE
3508935017	NA	672531000119106	^ESCT1171056	NA	Dysphasia as late effect of hemorrhagic stroke	EXCLUDE
3508936016	NA	672531000119106	^ESCT1171057	NA	Dysphasia as sequela of hemorrhagic cerebrovascular accident	EXCLUDE
3508937013	NA	672531000119106	^ESCT1171055	NA	Dysphasia as late effect of haemorrhagic stroke	EXCLUDE
3508938015	NA	672531000119106	^ESCT1171054	NA	Dysphasia as sequela of haemorrhagic cerebrovascular accident	EXCLUDE
3510554018	NA	291091000119102	^ESCT1170681	NA	Monoplegia of left nondominant upper limb as sequela of cerebrovascular accident	EXCLUDE
3510555017	NA	291091000119102	^ESCT1170682	NA	Monoplegia of left nondominant arm as late effect of stroke	EXCLUDE
3510556016	NA	291091000119102	^ESCT1170683	NA	Monoplegia of left nondominant upper limb due to and following cerebrovascular accident	EXCLUDE
3510558015	NA	290931000119108	^ESCT1170679	NA	Monoplegia of lower limb as sequela of cerebrovascular accident	EXCLUDE
3510559011	NA	290931000119108	^ESCT1170680	NA	Monoplegia of lower limb due to and following cerebrovascular accident	EXCLUDE
3510561019	NA	291111000119105	^ESCT1170684	NA	Monoplegia of right nondominant arm as late effect of stroke	EXCLUDE
3510562014	NA	291111000119105	^ESCT1170686	NA	Monoplegia of right nondominant upper limb as sequela of cerebrovascular accident	EXCLUDE
3510563016	NA	291111000119105	^ESCT1170685	NA	Monoplegia of right nondominant upper limb due to and following cerebrovascular accident	EXCLUDE
3510565011	NA	291121000119103	^ESCT1170687	NA	Monoplegia of arm as late effect of stroke	EXCLUDE
3510566012	NA	291121000119103	^ESCT1170689	NA	Monoplegia of upper limb as sequela of cerebrovascular accident	EXCLUDE
